cmpd_id,target_id,pic50_cens,cens
CHEMBL1329974,CHEMBL1075145,4.75870261289,0
CHEMBL1426692,CHEMBL1075145,4.30102999566,1
CHEMBL1458321,CHEMBL1075145,4.30102999566,1
CHEMBL1499658,CHEMBL1075145,4.67654163315,0
CHEMBL1575869,CHEMBL1075145,4.30102999566,1
CHEMBL496,CHEMBL1075145,5.2605858973,0
CHEMBL51931,CHEMBL1075145,4.30102999566,1
CHEMBL601757,CHEMBL1075145,4.30102999566,1
CHEMBL63354,CHEMBL1075145,5.04653025675,0
CHEMBL1299526,CHEMBL1075322,5.45392148994,0
CHEMBL1303426,CHEMBL1075322,5.45787448773,0
CHEMBL1310336,CHEMBL1075322,,0
CHEMBL1366942,CHEMBL1075322,6.15541100316,0
CHEMBL1387749,CHEMBL1075322,4.49485002168,1
CHEMBL1416169,CHEMBL1075322,4.49485002168,1
CHEMBL1429129,CHEMBL1075322,5.84771165562,0
CHEMBL1485010,CHEMBL1075322,5.29703123758,0
CHEMBL1526855,CHEMBL1075322,5.34227218043,0
CHEMBL1566610,CHEMBL1075322,5.73301141815,0
CHEMBL1586706,CHEMBL1075322,4.49485002168,1
CHEMBL338474,CHEMBL1075322,5.57802116249,0
CHEMBL417727,CHEMBL1075322,5.86516971009,0
CHEMBL567422,CHEMBL1075322,5.00918581301,0
CHEMBL942,CHEMBL1075322,6.04170853207,0
CHEMBL2332840,CHEMBL1163101,5.0,1
CHEMBL3623375,CHEMBL1163101,5.0,1
CHEMBL1232461,CHEMBL1163125,7.44369749923,0
CHEMBL2017281,CHEMBL1163125,6.09999903485,0
CHEMBL2017291,CHEMBL1163125,7.7447274949,0
CHEMBL2177300,CHEMBL1163125,9.40000782242,0
CHEMBL2205766,CHEMBL1163125,5.0,1
CHEMBL278041,CHEMBL1163125,5.60205999133,0
CHEMBL3353992,CHEMBL1163125,6.39999691337,0
CHEMBL3823101,CHEMBL1163125,4.0,1
CHEMBL3823478,CHEMBL1163125,4.0,1
CHEMBL98,CHEMBL1163125,4.30102999566,1
CHEMBL121,CHEMBL1293194,5.0,1
CHEMBL129918,CHEMBL1293194,4.0,1
CHEMBL595,CHEMBL1293194,5.0,1
CHEMBL633,CHEMBL1293194,3.85387196432,0
CHEMBL75880,CHEMBL1293194,4.0,1
CHEMBL1303188,CHEMBL1293286,4.18045606446,1
CHEMBL1309254,CHEMBL1293286,4.67366413907,0
CHEMBL1329974,CHEMBL1293286,4.44977164694,0
CHEMBL1334452,CHEMBL1293286,4.18045606446,1
CHEMBL1337752,CHEMBL1293286,4.18045606446,1
CHEMBL1346883,CHEMBL1293286,4.18045606446,1
